# dataset graph n_nodes n_4_cliques
web-spam web-spam_22.txt 4767 0
web-spam web-spam_23.txt 4767 1
web-spam web-spam_24.txt 4767 0
web-spam web-spam_25.txt 4767 0
web-spam web-spam_26.txt 4767 0
web-spam web-spam_27.txt 4767 0
web-spam web-spam_28.txt 4767 0
web-spam web-spam_29.txt 4767 0
web-spam web-spam_2.txt 4767 0
web-spam web-spam_30.txt 4767 0
web-spam web-spam_31.txt 4767 0
web-spam web-spam_32.txt 4767 0
web-spam web-spam_33.txt 4767 0
web-spam web-spam_34.txt 4767 0
web-spam web-spam_35.txt 4767 0
web-spam web-spam_36.txt 4767 0
web-spam web-spam_37.txt 4767 0
web-spam web-spam_38.txt 4767 0
web-spam web-spam_39.txt 4767 0
web-spam web-spam_3.txt 4767 0
web-spam web-spam_40.txt 4767 0
web-spam web-spam_41.txt 4767 0
web-spam web-spam_42.txt 4767 0
web-spam web-spam_43.txt 4767 0
web-spam web-spam_44.txt 4767 0
web-spam web-spam_45.txt 4767 0
web-spam web-spam_46.txt 4767 0
web-spam web-spam_47.txt 4767 0
web-spam web-spam_48.txt 4767 0
web-spam web-spam_49.txt 4767 0
web-spam web-spam_4.txt 4767 0
web-spam web-spam_50.txt 4767 0
web-spam web-spam_51.txt 4767 0
web-spam web-spam_52.txt 4767 0
web-spam web-spam_53.txt 4767 0
web-spam web-spam_54.txt 4767 0
web-spam web-spam_55.txt 4767 0
web-spam web-spam_56.txt 4767 0
web-spam web-spam_57.txt 4767 0
web-spam web-spam_58.txt 4767 0
web-spam web-spam_59.txt 4767 0
web-spam web-spam_5.txt 4767 0
web-spam web-spam_60.txt 4767 0
web-spam web-spam_61.txt 4767 0
web-spam web-spam_62.txt 4767 0
web-spam web-spam_63.txt 4767 0
web-spam web-spam_64.txt 4767 0
web-spam web-spam_65.txt 4767 0
web-spam web-spam_66.txt 4767 0
web-spam web-spam_67.txt 4767 0
web-spam web-spam_68.txt 4767 0
web-spam web-spam_69.txt 4767 0
web-spam web-spam_6.txt 4767 1
web-spam web-spam_70.txt 4767 0
web-spam web-spam_71.txt 4767 0
web-spam web-spam_72.txt 4767 0
web-spam web-spam_73.txt 4767 0
web-spam web-spam_74.txt 4767 0
web-spam web-spam_75.txt 4767 0
web-spam web-spam_76.txt 4767 0
web-spam web-spam_77.txt 4767 0
web-spam web-spam_78.txt 4767 0
web-spam web-spam_79.txt 4767 0
web-spam web-spam_7.txt 4767 0
web-spam web-spam_80.txt 4767 0
web-spam web-spam_81.txt 4767 0
web-spam web-spam_82.txt 4767 0
web-spam web-spam_83.txt 4767 0
web-spam web-spam_84.txt 4767 0
web-spam web-spam_85.txt 4767 0
web-spam web-spam_86.txt 4767 0
web-spam web-spam_87.txt 4767 0
web-spam web-spam_88.txt 4767 0
web-spam web-spam_89.txt 4767 0
web-spam web-spam_8.txt 4767 0
web-spam web-spam_90.txt 4767 0
web-spam web-spam_91.txt 4767 0
web-spam web-spam_92.txt 4767 0
web-spam web-spam_93.txt 4767 0
web-spam web-spam_94.txt 4767 0
web-spam web-spam_95.txt 4767 0
web-spam web-spam_96.txt 4767 0
web-spam web-spam_97.txt 4767 0
web-spam web-spam_98.txt 4767 0
web-spam web-spam_99.txt 4767 0
web-spam web-spam_9.txt 4767 0
