# model dataset graph n_nodes n_4_cliques
ER_iid facebook res_65.txt 4039 32617013
ER_iid facebook res_66.txt 4039 28145059
ER_iid facebook res_67.txt 4035 31550171
ER_iid facebook res_68.txt 4039 25814062
ER_iid facebook res_69.txt 4038 37469396
ER_iid facebook res_6.txt 4038 26006252
ER_iid facebook res_70.txt 4039 27278552
ER_iid facebook res_71.txt 4038 28603053
ER_iid facebook res_72.txt 4035 22896454
ER_iid facebook res_73.txt 4037 28664943
ER_iid facebook res_74.txt 4039 26978668
ER_iid facebook res_75.txt 4039 31224708
ER_iid facebook res_76.txt 4036 36268355
ER_iid facebook res_77.txt 4037 25889294
ER_iid facebook res_78.txt 4039 42204629
ER_iid facebook res_79.txt 4039 31901937
ER_iid facebook res_7.txt 4038 28978389
ER_iid facebook res_80.txt 4037 28159841
ER_iid facebook res_81.txt 4032 31029115
ER_iid facebook res_82.txt 4037 25702701
ER_iid facebook res_83.txt 4039 37504790
ER_iid facebook res_84.txt 4039 26982850
ER_iid facebook res_85.txt 4039 25760157
ER_iid facebook res_86.txt 4038 26470681
ER_iid facebook res_87.txt 4039 42639202
ER_iid facebook res_88.txt 4039 33188697
ER_iid facebook res_89.txt 4037 29993060
ER_iid facebook res_8.txt 4039 35974089
ER_iid facebook res_90.txt 4037 22889866
ER_iid facebook res_91.txt 4039 26429626
ER_iid facebook res_92.txt 4039 33922462
ER_iid facebook res_93.txt 4039 31333614
ER_iid facebook res_94.txt 4039 32741363
ER_iid facebook res_95.txt 4038 35056729
ER_iid facebook res_96.txt 4037 24231858
ER_iid facebook res_97.txt 4038 27676972
ER_iid facebook res_98.txt 4039 35574697
ER_iid facebook res_99.txt 4037 26580678
ER_iid facebook res_9.txt 4039 36651280
ER_iid hamsterster res_0.txt 2000 138066
ER_iid hamsterster res_10.txt 1999 134753
ER_iid hamsterster res_11.txt 2000 129468
ER_iid hamsterster res_12.txt 2000 111403
ER_iid hamsterster res_13.txt 2000 135380
ER_iid hamsterster res_14.txt 2000 139571
ER_iid hamsterster res_15.txt 1999 114180
ER_iid hamsterster res_16.txt 2000 121028
ER_iid hamsterster res_17.txt 2000 120083
ER_iid hamsterster res_18.txt 1999 134109
ER_iid hamsterster res_19.txt 2000 116131
ER_iid hamsterster res_1.txt 2000 127480
ER_iid hamsterster res_20.txt 2000 140669
ER_iid hamsterster res_21.txt 2000 131646
ER_iid hamsterster res_22.txt 2000 113083
ER_iid hamsterster res_23.txt 2000 140400
ER_iid hamsterster res_24.txt 1999 149729
ER_iid hamsterster res_25.txt 2000 112973
ER_iid hamsterster res_26.txt 2000 135211
ER_iid hamsterster res_27.txt 2000 113733
ER_iid hamsterster res_28.txt 2000 121453
ER_iid hamsterster res_29.txt 2000 122199
ER_iid hamsterster res_2.txt 2000 127707
ER_iid hamsterster res_30.txt 1999 139948
ER_iid hamsterster res_31.txt 2000 153243
ER_iid hamsterster res_32.txt 2000 146221
ER_iid hamsterster res_33.txt 2000 142220
ER_iid hamsterster res_34.txt 2000 132753
ER_iid hamsterster res_35.txt 2000 131708
ER_iid hamsterster res_36.txt 2000 143732
ER_iid hamsterster res_37.txt 1998 134127
ER_iid hamsterster res_38.txt 2000 137462
ER_iid hamsterster res_39.txt 2000 150869
ER_iid hamsterster res_3.txt 2000 150213
ER_iid hamsterster res_40.txt 2000 146625
ER_iid hamsterster res_41.txt 2000 105589
ER_iid hamsterster res_42.txt 2000 112681
ER_iid hamsterster res_43.txt 2000 120089
ER_iid hamsterster res_44.txt 2000 136718
ER_iid hamsterster res_45.txt 2000 115676
ER_iid hamsterster res_46.txt 2000 126183
ER_iid hamsterster res_47.txt 2000 145956
ER_iid hamsterster res_48.txt 2000 124705
ER_iid hamsterster res_49.txt 2000 124666
ER_iid hamsterster res_4.txt 2000 138509
ER_iid hamsterster res_50.txt 1999 135950
ER_iid hamsterster res_51.txt 2000 125997
ER_iid hamsterster res_52.txt 2000 134897
ER_iid hamsterster res_53.txt 2000 131107
ER_iid hamsterster res_54.txt 2000 136834
ER_iid hamsterster res_55.txt 2000 135977
ER_iid hamsterster res_56.txt 2000 132688
ER_iid hamsterster res_57.txt 2000 128388
ER_iid hamsterster res_58.txt 2000 129331
ER_iid hamsterster res_59.txt 1999 156982
ER_iid hamsterster res_5.txt 2000 125143
ER_iid hamsterster res_60.txt 2000 122761
ER_iid hamsterster res_61.txt 2000 126468
ER_iid hamsterster res_62.txt 1999 144939
ER_iid hamsterster res_63.txt 2000 118183
ER_iid hamsterster res_64.txt 2000 111868
ER_iid hamsterster res_65.txt 2000 121611
ER_iid hamsterster res_66.txt 2000 144392
ER_iid hamsterster res_67.txt 2000 142323
ER_iid hamsterster res_68.txt 2000 142376
ER_iid hamsterster res_69.txt 2000 119109
ER_iid hamsterster res_6.txt 2000 128098
ER_iid hamsterster res_70.txt 2000 125235
ER_iid hamsterster res_71.txt 2000 134871
ER_iid hamsterster res_72.txt 2000 112324
ER_iid hamsterster res_73.txt 1999 131346
